rank,neighbourhood_cleansed,configuration,n,n_hosts,positive_n,observed_review_target_share,mean_oof_probability,median_oof_probability,conditional_bootstrap_lower_95,conditional_bootstrap_upper_95,fewer_than_10_positive_listings,fewer_than_10_hosts,scenario,model
14,Stonnington,2BR Apartment/unit,97,77,8,0.08247422680412371,0.12752238930161547,0.09254999958214312,0.10806721125765409,0.14861873821477686,True,False,operating_controls,random_forest
1,Melbourne,3BR Apartment/unit,468,207,131,0.2799145299145299,0.2667933491985584,0.26211761020959784,0.2553437213208952,0.27898307003576156,False,False,all_review_histories,logistic
2,Yarra Ranges,2BR House/townhouse,67,51,14,0.208955223880597,0.22835742790618685,0.21893138040991666,0.21375377132958193,0.24679979915684605,False,False,all_review_histories,logistic
3,Melbourne,2BR Apartment/unit,2154,841,477,0.2214484679665738,0.2136790960405998,0.20825163734452515,0.2070131803573349,0.22074928561082946,False,False,all_review_histories,logistic
4,Yarra Ranges,3BR House/townhouse,117,96,27,0.23076923076923078,0.21212169368719147,0.20957888726338247,0.20111982072470475,0.2246046852976122,False,False,all_review_histories,logistic
5,Melbourne,1BR Apartment/unit,1474,647,270,0.18317503392130258,0.18921901645902237,0.18456881992439367,0.18192795444983328,0.19702363676782855,False,False,all_review_histories,logistic
6,Yarra,2BR House/townhouse,80,77,17,0.2125,0.17614692741123936,0.17900396975361632,0.16545460553530883,0.18720732092075706,False,False,all_review_histories,logistic
7,Yarra,2BR Apartment/unit,161,123,18,0.11180124223602485,0.16511366743224082,0.16557825479886962,0.15866425816329238,0.1717463878345835,False,False,all_review_histories,logistic
8,Yarra,3BR House/townhouse,76,65,11,0.14473684210526316,0.15734815766605753,0.15494868202641499,0.14676989989647699,0.16623568667433122,False,False,all_review_histories,logistic
9,Yarra,1BR Apartment/unit,248,191,43,0.17338709677419356,0.1494650576694705,0.148864971605843,0.14397563515151604,0.15493918124783068,False,False,all_review_histories,logistic
10,Merri-bek,2BR Apartment/unit,52,50,7,0.1346153846153846,0.13507340328224948,0.11898755225209118,0.12069231630724431,0.15242450206922123,True,False,all_review_histories,logistic
11,Merri-bek,1BR Apartment/unit,75,68,10,0.13333333333333333,0.12315749304540255,0.12130697627807661,0.11487282579139554,0.1312541618351698,False,False,all_review_histories,logistic
12,Glen Eira,2BR Apartment/unit,55,36,5,0.09090909090909091,0.12278390538799688,0.11039216064828113,0.08714180782944998,0.15487898593180677,True,False,all_review_histories,logistic
13,Boroondara,2BR Apartment/unit,55,50,5,0.09090909090909091,0.10184705764335375,0.09159575451685298,0.08464067314136361,0.12528616009445662,True,False,all_review_histories,logistic
14,Port Phillip,2BR House/townhouse,75,71,5,0.06666666666666667,0.09935703236843431,0.09897242378570066,0.09181008545271788,0.10643053719112104,True,False,all_review_histories,logistic
15,Port Phillip,2BR Apartment/unit,360,261,40,0.1111111111111111,0.09509606899601789,0.09543603144607382,0.09082110372844222,0.09957944803842132,False,False,all_review_histories,logistic
16,Port Phillip,3BR House/townhouse,101,76,7,0.06930693069306931,0.09266429966233634,0.09498116709400871,0.08325541466640829,0.10261275915250831,True,False,all_review_histories,logistic
17,Stonnington,2BR Apartment/unit,142,110,8,0.056338028169014086,0.09008396967048844,0.09091031609111579,0.08616530460796476,0.09420160475835768,True,False,all_review_histories,logistic
18,Stonnington,1BR Apartment/unit,254,180,26,0.10236220472440945,0.08559267996310632,0.08575037400232988,0.08238852078826159,0.08857568713568983,False,False,all_review_histories,logistic
19,Port Phillip,1BR Apartment/unit,477,386,40,0.08385744234800839,0.0855279568398848,0.08570191016900117,0.08191369250008458,0.08892582686524463,False,False,all_review_histories,logistic
20,Stonnington,3BR House/townhouse,61,51,5,0.08196721311475409,0.07707329583666121,0.07504582918989468,0.06938811011425705,0.08370767477453031,True,False,all_review_histories,logistic
21,Wyndham,3BR House/townhouse,52,47,2,0.038461538461538464,0.048628101098930405,0.04699586656129648,0.0441026912476516,0.053234711831533575,True,False,all_review_histories,logistic
